Agreeable,Self.Kept,Married,Food.Insecurity,Nonanonymous.Play,Extraverted,Ill.This.Mo,Income.zscore,IG.Avg,OG.Avg,Can.Stay,log.Subj.SES,Prod.Income.Drop,Market.Items.zscore,Dependency,Population,Places.Lived,Can.Borrow,Risk.Aversion,Years.Education,Shortfall.Summary,No.Neg.Stereos,Coop.Labor,Media.zscore,Sex.Male,Times.Church.Mo,Version,Visited.zscore,Age
6,2,FALSE,1,FALSE,8,0,2.279873193,2.666666667,3.666666667,0,1.945910149,0,1.602289305,2,Intercultural,8,2,10,15,-1.127200015,,1,-0.608906406,FALSE,4,F,0.335074486,40
4,0,TRUE,1,FALSE,6,0,3.438124125,,,1,2.197224577,1,-0.547107649,2,Intercultural,4,2,8,20,-0.275479249,,0,-0.608906406,TRUE,3,D,2.356752952,40
8,3,FALSE,0,FALSE,6,0,-0.41211551,3,3,0,0,1,0.288552793,0,Intercultural,4,2,6,12,-1.596743386,,0,-0.384655562,TRUE,4,C,3.13734547,20
4,2,TRUE,1.5,FALSE,6,0,0.617174288,3,,1,1.386294361,0,-0.490484519,0,Intercultural,4,2,4,14,-1.370883309,,1,0.400222392,FALSE,0,E,0.559705427,20
6,3,TRUE,0.5,TRUE,4,0,3.022449399,4,,1,1.609437912,0,1.877804692,1,Intercultural,3,2,8,6,-1.787832084,,0,0.007783415,TRUE,4,B,1.008967308,80
8,13,TRUE,1,TRUE,5,0,0.886373158,2.666666667,,1,1.791759469,1,1.697351699,2,Intercultural,4,1,8,12,-0.275479249,,0,-0.440718273,FALSE,1,B,-0.788080217,50
8,13,TRUE,3,TRUE,12,0,-0.671477345,1.333333333,1.333333333,1,0,1,-0.733272933,3,Intercultural,6,1,6,12,1.462733663,,0,-0.777094538,TRUE,0,A,3.030645774,40
0,2,TRUE,1.5,FALSE,6,0,-0.811745072,3,,1,1.098612289,0,1.624410053,2,Intercultural,5,2,8,3,-0.7680064,,0,-0.777094538,FALSE,2,D,0.110443546,50
5,6,TRUE,2.5,FALSE,12,0,-0.119060972,,,1,1.098612289,1,0.093550889,2,Intercultural,3,2,11,7,0.802101595,,1,-0.104342007,FALSE,4,F,-1.012711157,20
12,2,FALSE,2,TRUE,2,0,-0.290152267,3.333333333,3,1,0.693147181,2,1.81656838,7,Intercultural,3,2,8,0,2.801821018,,1,-0.777094538,FALSE,4,A,-0.563449276,50
12,2,TRUE,0.5,FALSE,2,0,0.797120057,3.333333333,3,0,0.693147181,1,0.058242349,3,Intercultural,3,2,8,7,-0.333234409,,0,1.185100345,TRUE,,A,-0.788080217,30
