RID,Order,Chose_R,Loc.SameValley_Diff,Loc.City_Diff,Wealth.High_Diff,Wealth.Med_Diff,Trust.Med_Diff,Trust.High_Diff,Good.Med_Diff,Good.High_Diff,Relig.Other_Diff,Pueblo.Other_Diff,Population,Version,Age,Sex,School_Yrs,NetIncome,Type,Nonanonymous_Play,Average_Given.Out
146,3,1,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,16,1,0,-1,0,0,1,0,0,1,0,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,14,0,0,1,0,0,1,-1,-1,1,0,1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,1,1,0,0,0,0,-1,1,0,1,1,1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,5,0,0,0,0,0,0,-1,-1,0,-1,1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,7,0,0,-1,1,0,0,0,1,-1,-1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,6,1,-1,0,-1,0,0,-1,0,0,1,1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,8,1,-1,1,0,0,0,0,0,1,-1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,4,0,1,0,1,-1,-1,0,1,-1,0,1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,11,0,1,0,0,-1,0,0,0,1,-1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,2,0,0,0,-1,0,1,0,-1,0,-1,-1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
247,15,1,0,0,0,0,0,0,0,0,NA,-1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,7,0,0,-1,1,0,0,0,1,-1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,18,0,1,0,0,0,-1,0,0,0,NA,1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,16,1,0,-1,0,0,1,0,0,1,NA,1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,8,1,-1,1,0,0,0,0,0,1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,4,0,1,0,1,-1,-1,0,1,-1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,5,0,0,0,0,0,0,-1,-1,0,NA,-1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,6,0,-1,0,-1,0,0,-1,0,0,NA,-1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,9,0,1,0,0,0,0,0,1,-1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,14,1,0,1,0,0,1,-1,-1,1,NA,-1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,12,1,0,0,1,0,-1,1,0,0,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,17,0,-1,1,0,0,1,-1,0,0,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,1,1,0,0,0,0,-1,1,0,1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,11,1,1,0,0,-1,0,0,0,1,NA,-1,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,3,0,1,-1,0,0,0,-1,-1,1,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
247,2,1,0,0,-1,0,1,0,-1,0,NA,0,Intercultural,D,30,male,15,250,Religion,TRUE,NA
