"RID","Order","Chose_R","Loc.SameValley_Diff","Loc.City_Diff","Wealth.High_Diff","Wealth.Med_Diff","Trust.Med_Diff","Trust.High_Diff","Good.Med_Diff","Good.High_Diff","Relig.Other_Diff","Pueblo.Other_Diff","Population","Version","Age","Sex","School_Yrs","NetIncome"
12,9,0,-1,1,0,0,1,0,-1,0,0,1,"Moseten","G",35,"male",15,2240
12,6,1,-1,1,-1,0,0,-1,1,0,-1,0,"Moseten","G",35,"male",15,2240
12,2,1,-1,0,0,0,0,0,1,-1,0,1,"Moseten","G",35,"male",15,2240
12,1,0,0,1,-1,1,-1,1,0,0,1,1,"Moseten","G",35,"male",15,2240
12,10,1,1,0,0,0,1,-1,1,0,0,0,"Moseten","G",35,"male",15,2240
12,18,0,-1,0,0,-1,0,0,0,-1,-1,0,"Moseten","G",35,"male",15,2240
12,4,0,0,-1,1,0,-1,0,0,0,1,1,"Moseten","G",35,"male",15,2240
12,13,1,0,0,-1,0,0,-1,1,-1,-1,0,"Moseten","G",35,"male",15,2240
12,14,1,0,0,1,0,0,1,-1,1,-1,1,"Moseten","G",35,"male",15,2240
12,16,1,0,0,0,0,1,0,-1,1,0,0,"Moseten","G",35,"male",15,2240
12,17,0,1,-1,-1,1,0,-1,0,0,-1,0,"Moseten","G",35,"male",15,2240
12,5,1,-1,1,0,-1,0,0,-1,1,0,-1,"Moseten","G",35,"male",15,2240
12,12,0,0,0,-1,1,0,0,-1,1,0,0,"Moseten","G",35,"male",15,2240
16,18,0,-1,0,0,-1,0,0,0,-1,-1,1,"Intercultural","G",50,"male",12,-1000
16,16,1,0,0,0,0,1,0,-1,1,0,-1,"Intercultural","G",50,"male",12,-1000
16,7,0,1,-1,0,0,1,0,-1,0,0,0,"Intercultural","G",50,"male",12,-1000
16,10,1,1,0,0,0,1,-1,1,0,0,1,"Intercultural","G",50,"male",12,-1000
16,13,0,0,0,-1,0,0,-1,1,-1,-1,1,"Intercultural","G",50,"male",12,-1000
16,6,0,-1,1,-1,0,0,-1,1,0,-1,-1,"Intercultural","G",50,"male",12,-1000
16,15,0,0,1,0,-1,-1,0,1,-1,-1,0,"Intercultural","G",50,"male",12,-1000
16,14,0,0,0,1,0,0,1,-1,1,-1,-1,"Intercultural","G",50,"male",12,-1000
16,11,1,0,0,0,0,-1,1,0,1,-1,0,"Intercultural","G",50,"male",12,-1000
16,1,1,0,1,-1,1,-1,1,0,0,1,0,"Intercultural","G",50,"male",12,-1000
16,12,0,0,0,-1,1,0,0,-1,1,0,-1,"Intercultural","G",50,"male",12,-1000
16,17,0,1,-1,-1,1,0,-1,0,0,-1,-1,"Intercultural","G",50,"male",12,-1000
16,8,0,0,0,0,0,0,0,0,0,-1,0,"Intercultural","G",50,"male",12,-1000
16,3,0,1,0,1,0,0,-1,0,0,0,0,"Intercultural","G",50,"male",12,-1000
16,4,0,0,-1,1,0,-1,0,0,0,1,0,"Intercultural","G",50,"male",12,-1000
16,2,1,-1,0,0,0,0,0,1,-1,0,0,"Intercultural","G",50,"male",12,-1000
16,9,1,-1,1,0,0,1,0,-1,0,0,0,"Intercultural","G",50,"male",12,-1000
